Lộ trình,Bắt đầu,Kết thúc,Thời gian(s),Trạng thái,WP done,WP total,Hàng,Ghi chú
Chuyển hàng_hành lang,2026-08-03T16:01:25,2026-08-03T16:03:27,122,success,5,5,8,Chu kỳ lặp #2 (vô hạn)
Chuyển hàng_hành lang,2026-08-03T15:58:57,2026-08-03T16:01:21,144,success,5,5,8,Chu kỳ lặp #1 (vô hạn)
Chuyển hàng_hành lang,2026-08-03T13:45:55,2026-08-03T13:49:26,211,success,5,5,8,Chu kỳ lặp 3/3
Chuyển hàng_hành lang,2026-08-03T13:43:24,2026-08-03T13:45:52,148,success,5,5,8,Chu kỳ lặp 2/3
Chuyển hàng_hành lang,2026-08-03T13:39:56,2026-08-03T13:43:21,205,success,5,5,8,Chu kỳ lặp 1/3
